id,name,headquarters,employeesSize,industryType,websiteList/0,websiteList/1,websiteList/2,websiteList/3,happinessScore,reviewScore,jobOffersCount,websiteList/4,websiteList/5,websiteList/6,websiteList/7,websiteList/8,websiteList/9,websiteList/10,websiteList/11
328537e1-e32c-43e1-be16-35c1f96298b1,Groupon,"600 W Chicago Ave Suite 400 Chicago, IL 60616","1,001 to 5,000",Information Technology,https://www.instagram.com/grouponcareers,https://people.groupon.com/,http://www.grouponcareers.com/,https://www.grouponcareers.com/,65,3.6,115,,,,,,,,
8384824c-b8e9-4945-b1d3-1b73edefe18d,E-Technologies,Auckland,2 to 10,Information Technology,http://etechnologies.co.nz/,,,,,3.6,21,,,,,,,,
18afd2c8-a414-404c-a982-bcc84412e039,Yakshna Solutions,"Herndon, VA",11 to 50,,http://www.yakshna.com/,,,,,3.9,109,,,,,,,,
05ca73bc-e60a-4a4a-b260-3632ce6427be,THRU TUBING SOLUTIONS,Oklahoma City,51 to 200,"Energy, Mining & Utilities",http://www.thrutubing.com/,,,,,4.1,2,,,,,,,,
dc30c2ef-c647-4cd1-b2a4-6464ca8c0a3b,Cleveland Cliffs Inc,"Cleveland, OH","5,001 to 10,000",Personal Consumer Services,https://www.linkedin.com/company/cleveland-cliffs/,https://careers.clevelandcliffs.com/,http://www.clevelandcliffs.com/,,57,3.2,108,,,,,,,,
d7c19549-247c-494f-8c41-60a1660d43b7,SISU,Los Angeles,11 to 50,Restaurants & Cafes,https://www.sisumedia.com/,,,,,4,36,,,,,,,,
0e33ce75-eafe-425d-bc80-decd09ab5131,TSMC,"San Jose, CA",51 to 200,Manufacturing,https://www.tsmc.com/,,,,,3.8,75,,,,,,,,
f2cd912c-69ec-42f6-b911-6cea5b92dce0,Mathis Brothers Furniture,"Oklahoma City, Oklahoma","1,001 to 5,000",Retail & Wholesale,http://www.mathisbrothers.com/,,,,61,3.5,276,,,,,,,,
de343dbb-faad-4a6a-bcab-dbde87fb2b69,IVYTECH SOLUTIONS INC,,,,,,,,,4.6,2,,,,,,,,
595c170b-cc34-447c-bab2-7faa8a915cee,Vertiv,"1050 Dearborn Drive, Columbus, OH 43085, United States","10,000+",Telecommunications,https://www.instagram.com/vertiv,https://www.vertiv.com/,,,53,3.6,515,,,,,,,,
f3d93482-ed16-45b9-8562-cc1f14c5d2cd,ARI,Mount Laurel,"501 to 1,000",Auto,https://www.linkedin.com/company/automotive-robotics?trk=top_nav_home,"https://www.glassdoor.com/Overview/Working-at-ARi-EI_IE405811.11,14.htm",http://www.autorobinc.com/,,,3.7,98,,,,,,,,
429b367a-1424-4f3e-ad7a-2e50be46d941,Red River Science & Technology,,,,,,,,,2.6,10,,,,,,,,
