id,name,type,starsCount,reviewsCount,mobileNumber,address,website,workingHours
a0c7b6c2-5bc5-41c1-af00-00fae8823ce7,Ideal Construction,Imprese edili,,,(661) 644-9519,"28338 Constellation Rd Ste 900 Santa Clarita, CA 91355 Stati Uniti",https://www.yelp.it/biz_redir?url=https%3A%2F%2Fwww.idealconstructionca.com&cachebuster=1640278075&website_link_type=website&src_bizid=eMDR4CiNXx900S_MhAytpw&s=20d4c6b45452a663664300f38014d298c50e15b19d796308b2b517e28cbdfaa7,8:30 AM - 5:30 PM
fff11db7-1579-4e45-ab45-a27de8dedfbd,Winter Construction,Imprese edili,,,,"3100 Gentian Blvd Columbus, GA 31907 Stati Uniti",,
3e7409f3-6c73-46a0-8f95-4f9fc5e0dfd0,Fantastic Carpet Services,Pulitura tappeti,4,5,(713) 780-9279,"8950 Westpark Dr Ste 201-202 Houston, TX 77063 Stati Uniti",https://www.yelp.it/biz_redir?url=http%3A%2F%2Fwww.fantasticcarpetservices.com&cachebuster=1640278087&website_link_type=website&src_bizid=MpKrCl0WhZlAFfu_uwk_ug&s=4fd9082d57e213daa9d0ff86568bbfcb043abbce23de062333e7382bb992c2af,9:00 AM - 4:00 PM
af8d23ee-4d88-4934-b709-52c9065b5382,Design By Kimberly Vaughan,Design d'interni,5,1,(214) 458-5057,"Dallas, TX 75243 Stati Uniti",https://www.yelp.it/biz_redir?url=https%3A%2F%2Fdesignbykimberlyvaughan.com&cachebuster=1640278093&website_link_type=website&src_bizid=pPB_waRknWHoN8Mwj9Iynw&s=58af645a8cfff5c252d14786fead28516f29b5e9aabdfb2513544ffd5444a8c7,9:00 AM - 6:00 PM
177bcbb1-60f3-44d7-a09b-fdaa02150fc8,Demo Leaders,Servizi di demolizione,5,75,(800) 915-6352,"16456 Aldea Ave Van Nuys, CA 91406 Stati Uniti",https://www.yelp.it/biz_redir?url=http%3A%2F%2Fdemoleaders.com&cachebuster=1640278099&website_link_type=website&src_bizid=7gyz_VpOW--qDBgF1ZCaQA&s=4340994011a813f5ea30235bb6ed40bcc235cad1fa5219ac857c7355ad08c21f,8:00 AM - 7:00 PM
2a9266be-f7aa-45d5-a673-c73a0393944a,Am Construction Service,Imprese edili,4.5,11,(917) 667-7479,,,9:00 AM - 7:30 PM
2abdad96-97cc-4807-9801-93c770685c8d,Lifetime Builders,Imprese edili,5,13,(971) 808-1079,,https://www.yelp.it/biz_redir?url=http%3A%2F%2Fwww.LifetimeBuildersNW.com&cachebuster=1640278111&website_link_type=website&src_bizid=QRCcbMH0xnPjE8Kc8swicw&s=38976e23d13a7c5ee69c12570476075a9fb0bf8cb062475bb983ade1defb7dd5,9:00 AM - 6:00 PM
7e10fe9b-58ea-4d5a-81d8-01ff310bd955,Morgan Construction,Imprese edili,,,(206) 550-8948,,https://www.yelp.it/biz_redir?url=https%3A%2F%2Fmorganconstruction.biz&cachebuster=1640278116&website_link_type=website&src_bizid=-YOySmo_AI50pqcO5-lKzQ&s=de548d6b77f17d9768b661c36a8c2fc705145a6346b0594b892734f626560324,8:00 AM - 5:00 PM
aa07512b-19b5-4368-a38c-d5ee8403ea6b,North Texas Living Solutions,Imprese edili,,,(972) 800-1071,,https://www.yelp.it/biz_redir?url=http%3A%2F%2Fwww.northtexaslivingsolutions.com&cachebuster=1640278123&website_link_type=website&src_bizid=DHwqZBIvesODgKgPywnV9Q&s=7ab8b4e84e90f60f2ab596ddc48dc2a8c98bf8de2be010142174aefc3cb5d41d,8:00 AM - 6:00 PM
79e24e1c-88ac-4db0-baae-a93bd3ba0aa9,VMCM and Development,Architetti/Geometri,,,(818) 400-8218,,https://www.yelp.it/biz_redir?url=http%3A%2F%2FVMCM.Dev&cachebuster=1640278130&website_link_type=website&src_bizid=n6m9669t8AxcwiOCNbW66g&s=4cb01084e1e75b28d96be61d99e722a6b26a529588a9962dcca89b37c99f4059,8:00 AM - 6:00 PM
832f4ea9-7c4e-4a65-b5c2-4fe35cb736d5,A&N Renovations Incorporated,Idraulici,,,(929) 492-8865,"1774 76th St Brooklyn, NY 11214 Stati Uniti",https://www.yelp.it/biz_redir?url=https%3A%2F%2Fan-renovations-incorporated.business.site&cachebuster=1640278134&website_link_type=website&src_bizid=pqj1giaM0JTYTWrhl8LD9w&s=58b0701f09bc29f9cac5a991beff9f601c4fe0ea18ddd94fab3d1364664141dc,8:00 AM - 8:00 PM
1573b02f-cd95-4f86-880c-339dcb31c1e2,Delta Eden,Imprese edili,5,7,(786) 798-7703,"50 Biscayne Blvd Miami, FL 33132 Stati Uniti",,8:00 AM - 8:00 PM
b8bee814-1db3-46ce-ab91-58e50a69a10f,American Home Improvers,Tetti,,,(630) 903-1258,"10 East Main St East Dundee, IL 60118 Stati Uniti",https://www.yelp.it/biz_redir?url=http%3A%2F%2Fwww.americanhomeimprovers.com&cachebuster=1640278147&website_link_type=website&src_bizid=QchEBSoT2oK8xFvFqYEQiQ&s=9ec339376903b9a83d15d1bc18ffc7378a162c2f8a72d5094c1443eeb8febc67,7:00 AM - 7:00 PM
f1663366-8f2f-4755-8340-fea47d54f1c7,Rainbow International of Goodyear,Pulitura tappeti,,,(602) 935-5222,"426 N Dysart Rd Unit 121 Goodyear, AZ 85338 Stati Uniti",https://www.yelp.it/biz_redir?url=https%3A%2F%2Frainbowintl.com%2Fgoodyear%3Fcid%3DLSTL_RBW000242&cachebuster=1640278153&website_link_type=website&src_bizid=T_9WmO-xEUOSGmlm8kJuIg&s=af6250668bc34203085529f7257755c01c9a783204c434034bb4b0b5aa5436fa,Aperto H24
0adb556e-12e7-4afc-bdf1-8291ffb3aeca,Infinity Renovations,Imbianchini,5,1,(773) 938-3444,"Chicago, IL 60625 Stati Uniti",https://www.yelp.it/biz_redir?url=http%3A%2F%2Fwww.infinityrenova.com&cachebuster=1640278159&website_link_type=website&src_bizid=UWPJngwodMXGK68n07Lh5Q&s=12a45cfe89f795eafa8ba1a6e4c3db7a9ceaff00581951cdd8c7e794ce3a4fa6,9:00 AM - 8:00 PM
19d5ea2c-83ae-4bb0-b0c4-1bcb138bffbb,World Flooring And More,Pavimenti,,,(773) 366-1958,,,7:00 AM - 8:00 PM
1a247e5c-6eac-4cf1-a52a-35bebb434fe9,Blackwood Remodeling,Imbianchini,5,1,(512) 543-6109,,,7:00 AM - 5:00 PM
e62f18ca-edb4-4ba7-8866-3a18273f2308,First Class Home Renovations,Imprese edili,,,(470) 430-9523,,,
c83c4391-5094-4e76-b0c8-eb10bc274ac0,Cahla Construction Group,Imprese edili,5,1,(310) 743-6201,,https://www.yelp.it/biz_redir?url=https%3A%2F%2Fwww.cahlaconstructiongroup.com&cachebuster=1640278183&website_link_type=website&src_bizid=pPvmnXisi95yTh7KKnpFXg&s=56c58ce9db416567cde76fc1b52695e86bdeef7de0e72e2c526d8a508360a6fb,
